area,total,_2008
Australia,21,1.06E+12
Austria,15,4.14E+11
Azerbaijan,13,48852482960
Belgium,16,5.07E+11
Bhutan,11,1257480561
Brazil,14,1.65E+12
Bulgaria,14,51824892678
Chile,15,1.80E+11
China,11,4.52E+12
Croatia,14,69595272329
Cyprus,14,25321517504
Czech Republic,15,2.25E+11
Denmark,17,3.44E+11
Dominica,15,462166696.3
Ecuador,14,61762635000
El Salvador,12,21431000000
Estonia,16,23781539699
Ethiopia,9,25608626476
Finland,17,2.72E+11
France,16,2.83E+12
Georgia,13,12799337250
Guinea,9,4515824643
Hungary,15,1.54E+11
Iceland,18,16832079677
Indonesia,13,5.10E+11
Ireland,18,2.64E+11
Israel,15,2.02E+11
Italy,16,2.31E+12
Jamaica,14,13676837630
Japan,15,4.85E+12
Jordan,13,21971835256
Kiribati,12,135044455.6
Latvia,15,33669367720
Liechtenstein,12,4929414915
Lithuania,16,47252926429
Malta,14,8554293727
Mauritius,14,9641077098
Mexico,14,1.10E+12
Namibia,12,8829927125
Netherlands,17,8.71E+11
New Zealand,19,1.31E+11
Norway,17,4.54E+11
Oman,11,60566970579
Panama,13,23001600000
Philippines,12,1.74E+11
Poland,15,5.29E+11
Portugal,16,2.52E+11
Romania,15,2.04E+11
Russian Federation,14,1.66E+12
Saudi Arabia,14,5.20E+11
Senegal,7,13386346543
Seychelles,13,967211974.9
Slovenia,17,54606018255
Spain,16,1.59E+12
Sweden,16,4.86E+11
Switzerland,15,5.24E+11
Tajikistan,11,5161336170
Tunisia,15,44736953169
Turkey,12,7.30E+11
Uganda,10,14440417641
Ukraine,15,1.80E+11
Uruguay,16,30366148248
