area,total,_2009
Armenia,12,8648015305
Aruba,13,2498932961
Belize,12,1338500000
Bosnia and Herzegovina,14,17082889410
Brunei Darussalam,14,10732435034
Burkina Faso,6,8348156389
Cameroon,10,22165009363
Cape Verde,12,1711816593
Central African Republic,7,1981728179
Chad,7,9253484290
Colombia,14,2.34E+11
Cuba,18,62078610000
Eritrea,5,1856695550
Grenada,16,775507460.7
Guyana,12,2025565089
Kenya,11,30580367979
Kuwait,13,1.06E+11
Lebanon,14,34650746269
Mali,8,8964480570
Mongolia,14,4583834427
Niger,5,5397121962
Pakistan,7,1.68E+11
Qatar,12,97583513671
Rwanda,11,5252677065
Serbia,14,40249479880
Thailand,12,2.64E+11
Uzbekistan,11,32816828373
